station_id,station_name,address,lat,lon,fast_charger,slow_charger,district_code
50,타워팰리스1차,서울특별시 강남구 도곡동 언주로30길 56,37.4880695220981,127.053483219997,1,4,11680
51,타워팰리스G동,서울특별시 강남구 도곡동 언주로30길 26,37.4877632466167,127.052530150983,1,2,11680
52,헌릉로745길 노상주차장,서울특별시 강남구 율현동 101-13,37.4702552460142,127.118461427396,1,0,11680
53,현대까르띠에710아파트,서울특별시 강남구 역삼동 710,37.5013521150596,127.044952350618,0,2,11680
54,GS강동자이 아파트,서울특별시 강동구 천호대로 1239(길동),37.5378612798048,127.148276995511,1,2,11740
55,강동보건소,서울특별시 강동구 성내동 541-2,37.5292967074962,127.125609079109,1,0,11740
56,강동송파지사,서울특별시 강동구 둔촌동 522-9,37.5238454511228,127.135566185157,1,3,11740
57,강동아트센터(강동문화재단),서울특별시 강동구 상일동 477,37.5509166634448,127.157594835232,2,0,11740
58,강동역 신동아 파밀리에,서울특별시 강동구 천호동 천호대로 1089,37.5366048791746,127.133115595362,1,0,11740
59,강일리버파크 6단지,서울특별시 강동구 강일동 아리수로94길 19,37.5627330061505,127.177260246293,1,0,11740
60,강일리버파크10단지,서울특별시 강동구 강일동 고덕로97길 20,37.5592084943697,127.179997616634,1,0,11740
61,강일리버파크11단지,서울특별시 강동구 강일동 고덕로97길 100,37.5627349985858,127.179992858104,0,1,11740
62,강일리버파크3단지,서울특별시 강동구 강일동 아리수로93길 40,37.5655171416703,127.175106641578,1,0,11740
63,강일리버파크7단지 아파트,서울특별시 강동구 아리수로98길 25,37.5652905801256,127.178211879779,1,3,11740
64,경보그레이스 힐,서울특별시 강동구 성내동 풍성로53길 40,37.5311316950152,127.135385681914,0,2,11740
65,고덕리엔파크1단지,서울특별시 강동구 상일로 152,37.5616428685115,127.171480371181,0,2,11740
66,고덕리엔파크3단지 아파트,서울특별시 강동구 상일로 74,37.5513683747695,127.174785524346,2,6,11740
67,고덕아이파크,서울특별시 강동구 고덕동 동남로79길 26,37.5591838811941,127.153744243632,1,3,11740
68,길동삼익파크,서울특별시 강동구 길동 명일로 293,37.5447065746306,127.146363375022,1,2,11740
69,대우한강베네시티 아파트,서울특별시 강동구 올림픽로 664,37.540555377209,127.124975762766,0,2,11740
70,둔촌푸르지오아파트,서울특별시 강동구 둔촌동 명일로 172,37.5341381859815,127.145070787029,1,3,11740
71,명일동 공영주차장,서울특별시 강동구 구천면로 395(명일동),37.5510230174179,127.142909546851,2,0,11740
72,명일한양아파트,서울특별시 강동구 명일동 동남로71길 19,37.551044532043,127.154720559859,1,0,11740
73,삼익가든아파트,서울특별시 강동구 명일동 260-1,37.5460427349575,127.147177111382,0,2,11740
74,성내1차이편한세상,서울특별시 강동구 성내동 598,37.5332945907173,127.130952135652,0,2,11740
75,성내동중앙하이츠,서울특별시 강동구 성내동 410-2,37.5305281388283,127.133544327063,0,1,11740
76,성내삼성 아파트,서울특별시 강동구 성내동 풍성로 128,37.5299439507419,127.125981133302,1,4,11740
77,신성둔촌미소지움아파트 입주자대표회의,서울특별시 강동구 둔촌동 명일로 102,37.5276463957348,127.142547152953,1,2,11740
78,암사라인 아파트,서울특별시 강동구 암사동 고덕로 53,37.554992303218,127.131159173617,0,1,11740
79,암펠로스타워,서울특별시 강동구 둔촌동 명일로 110,37.5288078485418,127.143165938025,0,1,11740
80,천호1동 공영주차장,서울특별시 강동구 구천면로 42길 60(천호동),37.5449887814005,127.136262926344,2,0,11740
81,천호유수지,서울특별시 강동구 천호동 329,37.5447889862851,127.121877570623,2,0,11740
82,한강포스파크아파트,서울특별시 강동구 암사동 고덕로19길 30,37.556149517849,127.133831889947,0,1,11740
83,한강현대 아파트,서울특별시 강동구 암사동 올림픽로104길 41,37.5560117079515,127.131306275868,1,2,11740
84,현대백화점 천호점,서울특별시 강동구 천호대로 1005,37.5389750482546,127.124440988259,3,0,11740
85,힐스테이트 강동리버뷰,서울특별시 강동구 암사동 675,37.5488202709191,127.125370241826,0,5,11740
86,강북문화예술회관,서울특별시 강북구 수유동 360-10,37.6407251641691,127.01311942101,1,0,11305
87,강북성북지사,서울특별시 강북구 미아동 190-1,37.6305693318587,127.024944816683,0,7,11305
88,강북성북지사(공용),서울특별시 강북구 미아동 190-1,37.6305693318587,127.024944816683,6,2,11305
89,래미안미아1차 아파트,서울특별시 강북구 미아동 797,37.6260087812506,127.01932742399,1,1,11305
90,미아동부센트레빌,서울특별시 강북구 미아동 474,37.613739986561,127.025698726597,1,2,11305
91,미아한일유앤아이APT,서울특별시 강북구 미아동 1355,37.614985442801,127.036554784672,0,2,11305
92,북서울꿈의숲,서울특별시 강북구 번동 90,37.6215435232573,127.041291920514,2,0,11305
93,해모로아파트,서울특별시 강북구 번동 139,37.6263821831818,127.037518381078,1,0,11305
94,e편한세상염창,서울특별시 강서구 염창동 309,37.5489515385441,126.870778019807,0,5,11500
95,강서경찰서 민원인주차장,서울특별시 강서구 화곡동 980-27,37.5514210297481,126.850076044386,1,0,11500
96,강서한강자이아파트,서울특별시 강서구 가양동 양천로55길 55,37.5663284781553,126.8481831828,1,1,11500
97,마곡 이웰메디파크,서울특별시 강서구 마곡동 801-7,37.5578684727295,126.834944503213,1,0,11500
98,마곡13단지 힐스테이트마스터,서울특별시 강서구 마곡동 748,37.5577905837789,126.818287997332,1,2,11500
99,마곡수명산파크1단지,서울특별시 강서구 내발산동 742,37.554378050436,126.830206010388,1,2,11500
100,마곡수명산파크3단지,서울특별시 강서구 내발산동 751,37.5528192530167,126.824912207374,1,1,11500
101,마곡수명산파크5단지,서울특별시 강서구 내발산동 749,37.5519895481685,126.827067848467,1,2,11500
102,마곡수명산파크6단지,서울특별시 강서구 내발산동 수명로2길 63,37.5498753287677,126.825821922696,1,1,11500
103,마곡수명산파크7단지,서울특별시 강서구 내발산동 수명로2가길 22,37.5476628719782,126.821917682228,1,3,11500
104,마곡수명산파크8단지,서울특별시 강서구 내발산동 745,37.5516576775725,126.828651828529,0,1,11500
105,마곡엠밸리11단지아파트,서울특별시 강서구 마곡동 공항대로 124,37.5594617880425,126.820728611421,0,2,11500
106,마곡엠밸리2단지,서울특별시 강서구 마곡동 마곡서1로 146,37.5688453686807,126.821135353805,0,3,11500
107,마곡엠밸리3단지,서울특별시 강서구 마곡동 736,37.5681009925648,126.820143984036,1,2,11500
108,마곡엠밸리6단지,서울특별시 강서구 마곡동 743,37.565321846623,126.820481062137,1,4,11500
109,마곡엠밸리8단지,서울특별시 강서구 마곡동 마곡서1로 81,37.5643663889963,126.819154429803,1,0,11500
110,마곡힐스테이트,서울특별시 강서구 마곡동 725-1,37.56406,126.817827,1,3,11500
111,미주진로아파트,서울특별시 강서구 등촌동 701,37.559838467768,126.847028675022,0,2,11500
112,방화5단지 아파트,서울특별시 강서구 방화동 금낭화로 287-19,37.5768038501964,126.810286852537,1,3,11500
113,방화동부센트레빌,서울특별시 강서구 방화동 875,37.574703238848,126.814976041476,1,0,11500
114,서울남부출입국 외국인사무소,서울특별시 강서구 마곡동 745,37.5612466468668,126.821373433594,1,0,11500
115,염창힐스테이트 아파트,서울특별시 강서구 염창동 306,37.551385614756,126.873552523552,0,1,11500
116,한국공항공사 고객전용주차장,서울특별시 강서구 과해동 676,37.5618107937227,126.798661274326,1,0,11500
117,한국공항공사 서울,서울특별시 강서구 방화동 886,37.5668093694949,126.802955054368,4,0,11500
