district_code,fuel_id,reg_year,total_amount
11410,4,2021,261
11410,5,2021,3931
11410,6,2021,663
11410,7,2021,83
11440,1,2021,64672
11440,2,2021,41400
11440,3,2021,7761
11440,4,2021,319
11440,5,2021,5723
11440,6,2021,1062
11440,7,2021,146
11470,1,2021,79766
11470,2,2021,50027
11470,3,2021,13218
11470,4,2021,611
11470,5,2021,6328
11470,6,2021,989
11470,7,2021,85
11500,1,2021,102673
11500,2,2021,69268
11500,3,2021,19782
11500,4,2021,388
11500,5,2021,10770
11500,6,2021,1679
11500,7,2021,131
11530,1,2021,69568
11530,2,2021,53733
11530,3,2021,12805
11530,4,2021,389
11530,5,2021,5173
11530,6,2021,3733
11530,7,2021,161
11545,1,2021,41952
11545,2,2021,36564
11545,3,2021,7492
11545,4,2021,386
11545,5,2021,3040
11545,6,2021,530
11545,7,2021,35
11560,1,2021,73494
11560,2,2021,53559
11560,3,2021,9342
11560,4,2021,110
11560,5,2021,6563
11560,6,2021,2409
11560,7,2021,162
11590,1,2021,58666
11590,2,2021,34365
11590,3,2021,7085
11590,4,2021,57
11590,5,2021,5104
11590,6,2021,710
11590,7,2021,98
11620,1,2021,60972
11620,2,2021,40921
11620,3,2021,10436
11620,4,2021,225
11620,5,2021,4575
11620,6,2021,730
11620,7,2021,65
11650,1,2021,100128
11650,2,2021,55125
11650,3,2021,6866
11650,4,2021,529
11650,5,2021,10194
11650,6,2021,3616
11650,7,2021,246
11680,1,2021,132710
11680,2,2021,68130
11680,3,2021,10801
11680,4,2021,268
11680,5,2021,15531
11680,6,2021,11432
11680,7,2021,192
11710,1,2021,129275
11710,2,2021,85730
11710,3,2021,16200
11710,4,2021,826
11710,5,2021,12109
11710,6,2021,1932
11710,7,2021,184
11740,1,2021,77837
11740,2,2021,51420
11740,3,2021,14014
11740,4,2021,216
11740,5,2021,6886
11740,6,2021,1273
11740,7,2021,206
11110,1,2022,26642
11110,2,2022,18191
11110,3,2022,2337
11110,4,2022,116
11110,5,2022,2527
11110,6,2022,654
11110,7,2022,72
11140,1,2022,29779
11140,2,2022,22955
11140,3,2022,2878
11140,4,2022,34
11140,5,2022,2771
11140,6,2022,1003
11140,7,2022,37
11170,1,2022,42312
11170,2,2022,24337
11170,3,2022,3374
11170,4,2022,28
11170,5,2022,4017
11170,6,2022,830
11170,7,2022,62
11200,1,2022,55387
11200,2,2022,36092
11200,3,2022,7337
11200,4,2022,420
11200,5,2022,4855
11200,6,2022,1556
11200,7,2022,49
11215,1,2022,50456
11215,2,2022,35964
11215,3,2022,7314
11215,4,2022,177
11215,5,2022,4288
11215,6,2022,694
11215,7,2022,47
11230,1,2022,49267
11230,2,2022,36153
11230,3,2022,8199
11230,4,2022,48
11230,5,2022,3934
11230,6,2022,734
11230,7,2022,53
11260,1,2022,53952
11260,2,2022,42803
11260,3,2022,13080
11260,4,2022,350
11260,5,2022,3744
11260,6,2022,929
11260,7,2022,45
11290,1,2022,64101
11290,2,2022,41690
11290,3,2022,8922
11290,4,2022,716
11290,5,2022,5411
11290,6,2022,1044
11290,7,2022,65
11305,1,2022,36746
11305,2,2022,26942
11305,3,2022,7621
11305,4,2022,627
11305,5,2022,2437
11305,6,2022,606
11305,7,2022,24
11320,1,2022,47016
11320,2,2022,33071
11320,3,2022,11021
11320,4,2022,349
11320,5,2022,3238
11320,6,2022,718
11320,7,2022,26
11350,1,2022,78991
11350,2,2022,49161
11350,3,2022,15964
11350,4,2022,598
11350,5,2022,6258
11350,6,2022,1037
11350,7,2022,64
11380,1,2022,69860
11380,2,2022,44194
11380,3,2022,12248
11380,4,2022,693
11380,5,2022,5424
11380,6,2022,1046
11380,7,2022,104
11410,1,2022,47432
11410,2,2022,29364
11410,3,2022,7196
11410,4,2022,251
11410,5,2022,4267
11410,6,2022,755
11410,7,2022,83
11440,1,2022,64677
11440,2,2022,40915
11440,3,2022,7664
11440,4,2022,304
11440,5,2022,6089
11440,6,2022,1179
11440,7,2022,141
