station_id,station_name,address,fast_charger,slow_charger,district_code
78,암사라인 아파트,서울특별시 강동구 암사동 고덕로 53,0,1,11740
79,암펠로스타워,서울특별시 강동구 둔촌동 명일로 110,0,1,11740
80,천호1동 공영주차장,서울특별시 강동구 구천면로 42길 60(천호동),2,0,11740
81,천호유수지,서울특별시 강동구 천호동 329,2,0,11740
82,한강포스파크아파트,서울특별시 강동구 암사동 고덕로19길 30,0,1,11740
83,한강현대 아파트,서울특별시 강동구 암사동 올림픽로104길 41,1,2,11740
84,현대백화점 천호점,서울특별시 강동구 천호대로 1005,3,0,11740
85,힐스테이트 강동리버뷰,서울특별시 강동구 암사동 675,0,5,11740
86,강북문화예술회관,서울특별시 강북구 수유동 360-10,1,0,11305
87,강북성북지사,서울특별시 강북구 미아동 190-1,0,7,11305
88,강북성북지사(공용),서울특별시 강북구 미아동 190-1,6,2,11305
89,래미안미아1차 아파트,서울특별시 강북구 미아동 797,1,1,11305
90,미아동부센트레빌,서울특별시 강북구 미아동 474,1,2,11305
91,미아한일유앤아이APT,서울특별시 강북구 미아동 1355,0,2,11305
92,북서울꿈의숲,서울특별시 강북구 번동 90,2,0,11305
93,해모로아파트,서울특별시 강북구 번동 139,1,0,11305
94,e편한세상염창,서울특별시 강서구 염창동 309,0,5,11500
95,강서경찰서 민원인주차장,서울특별시 강서구 화곡동 980-27,1,0,11500
96,강서한강자이아파트,서울특별시 강서구 가양동 양천로55길 55,1,1,11500
97,마곡 이웰메디파크,서울특별시 강서구 마곡동 801-7,1,0,11500
98,마곡13단지 힐스테이트마스터,서울특별시 강서구 마곡동 748,1,2,11500
99,마곡수명산파크1단지,서울특별시 강서구 내발산동 742,1,2,11500
100,마곡수명산파크3단지,서울특별시 강서구 내발산동 751,1,1,11500
101,마곡수명산파크5단지,서울특별시 강서구 내발산동 749,1,2,11500
102,마곡수명산파크6단지,서울특별시 강서구 내발산동 수명로2길 63,1,1,11500
103,마곡수명산파크7단지,서울특별시 강서구 내발산동 수명로2가길 22,1,3,11500
104,마곡수명산파크8단지,서울특별시 강서구 내발산동 745,0,1,11500
105,마곡엠밸리11단지아파트,서울특별시 강서구 마곡동 공항대로 124,0,2,11500
106,마곡엠밸리2단지,서울특별시 강서구 마곡동 마곡서1로 146,0,3,11500
107,마곡엠밸리3단지,서울특별시 강서구 마곡동 736,1,2,11500
108,마곡엠밸리6단지,서울특별시 강서구 마곡동 743,1,4,11500
109,마곡엠밸리8단지,서울특별시 강서구 마곡동 마곡서1로 81,1,0,11500
110,마곡힐스테이트,서울특별시 강서구 마곡동 725-1,1,3,11500
111,미주진로아파트,서울특별시 강서구 등촌동 701,0,2,11500
112,방화5단지 아파트,서울특별시 강서구 방화동 금낭화로 287-19,1,3,11500
113,방화동부센트레빌,서울특별시 강서구 방화동 875,1,0,11500
114,서울남부출입국 외국인사무소,서울특별시 강서구 마곡동 745,1,0,11500
115,염창힐스테이트 아파트,서울특별시 강서구 염창동 306,0,1,11500
116,한국공항공사 고객전용주차장,서울특별시 강서구 과해동 676,1,0,11500
117,한국공항공사 서울,서울특별시 강서구 방화동 886,4,0,11500
118,한사랑2차삼성 아파트,서울특별시 강서구 공항대로59길 64,1,2,11500
119,화곡초록 아파트,서울특별시 강서구 화곡동 1139,1,0,11500
120,관악구 종합체육센타,서울특별시 관악구 봉천동 225,1,0,11620
121,관악구 평생학습관,서울특별시 관악구 신림동 1577-4,1,0,11620
122,관악동부센트레빌 아파트,서울특별시 관악구 봉천동 은천로33길 5,1,1,11620
123,관악동작 견인차량 보관소,서울특별시 관악구 신사로 7,1,0,11620
124,관악벽산블루밍,서울특별시 관악구 봉천동 은천로 93,2,0,11620
125,대우신림2차푸르지오,서울특별시 관악구 신림동 난곡로 66,1,0,11620
126,보라매삼성 아파트,서울특별시 관악구 봉천동 보라매로 62,1,2,11620
127,봉천건영6차아파트,서울특별시 관악구 봉천동 1701,0,1,11620
128,서울대입구아이원,서울특별시 관악구 봉천동 청룡길 78,1,1,11620
129,신림 주공2단지,서울특별시 관악구 신림동 광신길 86,0,3,11620
130,신림동부센트레빌,서울특별시 관악구 신림동 미성3길 16,0,2,11620
131,신림쌍용 아파트,서울특별시 관악구 신림동 미성길 122,1,2,11620
132,은천2단지 아파트,서울특별시 관악구 봉천동 인헌12길 46-1,1,1,11620
133,청광 아파트,서울특별시 관악구 신림로3가길 45-24,0,1,11620
134,강변테크노마트 주차장,서울특별시 광진구 구의동 546-4,5,1,11215
135,광장힐스테이트 아파트,서울특별시 광진구 광장동 아차산로 537-17,1,2,11215
136,광진구청 주차장,서울특별시 광진구 자양동 777,1,0,11215
137,광진하우스토리한강,서울특별시 광진구 자양동 구의강변로1길 44,0,1,11215
138,구의삼성쉐르빌상가,서울특별시 광진구 구의동 199-18,3,0,11215
139,구의삼성쉐르빌아파트,서울특별시 광진구 구의동 199-18,0,5,11215
140,뚝도충전소,서울특별시 광진구 자양3동 510-8,2,1,11215
141,자양2동유수지 공영주차장,서울특별시 광진구 뚝섬로 52길 74,2,0,11215
142,자양금강KCC 아파트,서울특별시 광진구 자양동 아차산로36길 13,0,2,11215
143,장로회신학대학교,서울특별시 광진구 광장동 353,2,0,11215
144,개봉대상아파트,서울특별시 구로구 개봉동 477,0,2,11530
